Timestamp,Radiowa 20B CH kW
2021-12-01T00:00:00+01:00 Warsaw,19.411166833921715
2021-12-01T01:00:00+01:00 Warsaw,19.942529888874954
2021-12-01T02:00:00+01:00 Warsaw,20.268710735861898
2021-12-01T03:00:00+01:00 Warsaw,20.69572990944687
2021-12-01T04:00:00+01:00 Warsaw,21.34686118749109
2021-12-01T05:00:00+01:00 Warsaw,22.791931571356255
2021-12-01T06:00:00+01:00 Warsaw,23.612516337505095
2021-12-01T07:00:00+01:00 Warsaw,22.65516799485518
2021-12-01T08:00:00+01:00 Warsaw,21.6430900605228
2021-12-01T09:00:00+01:00 Warsaw,20.618972568153783
2021-12-01T10:00:00+01:00 Warsaw,19.27484330760297
2021-12-01T11:00:00+01:00 Warsaw,18.18956266449988
2021-12-01T12:00:00+01:00 Warsaw,17.711828698010674
2021-12-01T13:00:00+01:00 Warsaw,17.737870274985273
2021-12-01T14:00:00+01:00 Warsaw,18.296981676820252
2021-12-01T15:00:00+01:00 Warsaw,19.191457088877204
2021-12-01T16:00:00+01:00 Warsaw,19.963226831476998
2021-12-01T17:00:00+01:00 Warsaw,20.023044469802624
2021-12-01T18:00:00+01:00 Warsaw,19.494154832643492
2021-12-01T19:00:00+01:00 Warsaw,18.682781483972512
2021-12-01T20:00:00+01:00 Warsaw,17.715581596780705
2021-12-01T21:00:00+01:00 Warsaw,16.90261584749045
2021-12-01T22:00:00+01:00 Warsaw,15.905564138822138
2021-12-01T23:00:00+01:00 Warsaw,14.721440775615198
2021-12-02T00:00:00+01:00 Warsaw,14.123209761725533
2021-12-02T01:00:00+01:00 Warsaw,14.11954628917906
2021-12-02T02:00:00+01:00 Warsaw,13.155611629587632
2021-12-02T03:00:00+01:00 Warsaw,13.067648234571728
2021-12-02T04:00:00+01:00 Warsaw,13.444208284540784
2021-12-02T05:00:00+01:00 Warsaw,13.301288335530847
2021-12-02T06:00:00+01:00 Warsaw,13.092496208094415
2021-12-02T07:00:00+01:00 Warsaw,13.960218692179078
2021-12-02T08:00:00+01:00 Warsaw,14.446803462886935
2021-12-02T09:00:00+01:00 Warsaw,13.849482481936299
2021-12-02T10:00:00+01:00 Warsaw,13.165760920365651
2021-12-02T11:00:00+01:00 Warsaw,12.575092854744122
2021-12-02T12:00:00+01:00 Warsaw,13.262026317615991
2021-12-02T13:00:00+01:00 Warsaw,13.683591297290944
2021-12-02T14:00:00+01:00 Warsaw,14.228238581158813
