Timestamp,Radiowa 20B CustomWeather Temp_Zewnetrzna
2022-01-01T00:00:00+01:00 Warsaw,9.631099444169264
2022-01-01T01:00:00+01:00 Warsaw,9.761065530776978
2022-01-01T02:00:00+01:00 Warsaw,9.5728994652077
2022-01-01T03:00:00+01:00 Warsaw,9.159958325899565
2022-01-01T04:00:00+01:00 Warsaw,8.79466707056219
2022-01-01T05:00:00+01:00 Warsaw,8.48772112528483
2022-01-01T06:00:00+01:00 Warsaw,8.23573244535006
2022-01-01T07:00:00+01:00 Warsaw,8.066049392406757
2022-01-01T08:00:00+01:00 Warsaw,8.082259635925293
2022-01-01T09:00:00+01:00 Warsaw,8.48320046338168
2022-01-01T10:00:00+01:00 Warsaw,8.879448265864932
2022-01-01T11:00:00+01:00 Warsaw,9.526400818544275
2022-01-01T12:00:00+01:00 Warsaw,9.514667919703893
2022-01-01T13:00:00+01:00 Warsaw,9.189369596284012
2022-01-01T14:00:00+01:00 Warsaw,8.539419819326962
2022-01-01T15:00:00+01:00 Warsaw,7.854165649414062
2022-01-01T16:00:00+01:00 Warsaw,7.412052726745605
2022-01-01T17:00:00+01:00 Warsaw,6.981612977527437
2022-01-01T18:00:00+01:00 Warsaw,6.3287879336964
2022-01-01T19:00:00+01:00 Warsaw,5.796666532754898
2022-01-01T20:00:00+01:00 Warsaw,5.394313812255859
2022-01-01T21:00:00+01:00 Warsaw,5.013478486434273
2022-01-01T22:00:00+01:00 Warsaw,4.756666481494904
2022-01-01T23:00:00+01:00 Warsaw,4.519630008273655
2022-01-02T00:00:00+01:00 Warsaw,4.211975397887053
2022-01-02T01:00:00+01:00 Warsaw,4.0514042753922315
2022-01-02T02:00:00+01:00 Warsaw,4.032221714655559
2022-01-02T03:00:00+01:00 Warsaw,3.9215150746432217
2022-01-02T04:00:00+01:00 Warsaw,3.9882452738912484
2022-01-02T05:00:00+01:00 Warsaw,3.9751279078997097
2022-01-02T06:00:00+01:00 Warsaw,4.175431728363037
2022-01-02T07:00:00+01:00 Warsaw,4.228550682897153
2022-01-02T08:00:00+01:00 Warsaw,4.489420227382494
2022-01-02T09:00:00+01:00 Warsaw,5.383333297486001
2022-01-02T10:00:00+01:00 Warsaw,6.647080285208566
2022-01-02T11:00:00+01:00 Warsaw,7.645361473685817
2022-01-02T12:00:00+01:00 Warsaw,8.493047891661178
2022-01-02T13:00:00+01:00 Warsaw,9.252452021059783
2022-01-02T14:00:00+01:00 Warsaw,9.331873943931178
2022-01-02T15:00:00+01:00 Warsaw,8.960852317810058
2022-01-02T16:00:00+01:00 Warsaw,8.695942454867893
2022-01-02T17:00:00+01:00 Warsaw,8.723942963973336
2022-01-02T18:00:00+01:00 Warsaw,8.815696784428187
2022-01-02T19:00:00+01:00 Warsaw,8.841600461439652
2022-01-02T20:00:00+01:00 Warsaw,8.728535234928131
2022-01-02T21:00:00+01:00 Warsaw,8.44106682141622
2022-01-02T22:00:00+01:00 Warsaw,8.57097247668675
2022-01-02T23:00:00+01:00 Warsaw,9.156799687279594
2022-01-03T00:00:00+01:00 Warsaw,9.542215886323348
2022-01-03T01:00:00+01:00 Warsaw,9.505067868666215
2022-01-03T02:00:00+01:00 Warsaw,9.485334515571594
2022-01-03T03:00:00+01:00 Warsaw,9.025421518268008
2022-01-03T04:00:00+01:00 Warsaw,8.251472380103134
2022-01-03T05:00:00+01:00 Warsaw,7.587792714436849
2022-01-03T06:00:00+01:00 Warsaw,7.118925797311883
2022-01-03T07:00:00+01:00 Warsaw,6.790229731592639
2022-01-03T08:00:00+01:00 Warsaw,6.7968814713614325
2022-01-03T09:00:00+01:00 Warsaw,7.309701406038725
2022-01-03T10:00:00+01:00 Warsaw,7.736865569805277
2022-01-03T11:00:00+01:00 Warsaw,7.227672563280378
2022-01-03T12:00:00+01:00 Warsaw,7.0334596316019695
2022-01-03T13:00:00+01:00 Warsaw,7.2537733933021284
2022-01-03T14:00:00+01:00 Warsaw,7.083911557992299
2022-01-03T15:00:00+01:00 Warsaw,6.979412753006508
2022-01-03T16:00:00+01:00 Warsaw,6.777017668673866
2022-01-03T17:00:00+01:00 Warsaw,6.299999833106995
2022-01-03T18:00:00+01:00 Warsaw,6.074348014333974
2022-01-03T19:00:00+01:00 Warsaw,6.441466827392578
2022-01-03T20:00:00+01:00 Warsaw,6.4013044108515205
2022-01-03T21:00:00+01:00 Warsaw,6.464814839539705
2022-01-03T22:00:00+01:00 Warsaw,6.197199993133545
2022-01-03T23:00:00+01:00 Warsaw,5.683623230975607
2022-01-04T00:00:00+01:00 Warsaw,5.809999984243642
