Timestamp,Radiowa 20B CH kW
2022-06-01T00:00:00+02:00 Warsaw,0
2022-06-01T01:00:00+02:00 Warsaw,0.5664687382720768
2022-06-01T02:00:00+02:00 Warsaw,2.884084616570245
2022-06-01T03:00:00+02:00 Warsaw,4.636661706156201
2022-06-01T04:00:00+02:00 Warsaw,4.6833393921776425
2022-06-01T05:00:00+02:00 Warsaw,4.658787300895761
2022-06-01T06:00:00+02:00 Warsaw,3.5126786549179645
2022-06-01T07:00:00+02:00 Warsaw,2.274330817257917
2022-06-01T08:00:00+02:00 Warsaw,1.8450827611300047
2022-06-01T09:00:00+02:00 Warsaw,0.662571972348072
2022-06-01T10:00:00+02:00 Warsaw,0.022085054757523457
2022-06-01T11:00:00+02:00 Warsaw,0
2022-06-01T12:00:00+02:00 Warsaw,0
2022-06-01T13:00:00+02:00 Warsaw,0
2022-06-01T14:00:00+02:00 Warsaw,0
2022-06-01T15:00:00+02:00 Warsaw,0
2022-06-01T16:00:00+02:00 Warsaw,0
2022-06-01T17:00:00+02:00 Warsaw,0
2022-06-01T18:00:00+02:00 Warsaw,0
2022-06-01T19:00:00+02:00 Warsaw,0
2022-06-01T20:00:00+02:00 Warsaw,0
2022-06-01T21:00:00+02:00 Warsaw,2.122549105137955
2022-06-01T22:00:00+02:00 Warsaw,4.851904721448451
2022-06-01T23:00:00+02:00 Warsaw,6.363459434558475
2022-06-02T00:00:00+02:00 Warsaw,5.758731674784495
2022-06-02T01:00:00+02:00 Warsaw,4.9690659030455135
2022-06-02T02:00:00+02:00 Warsaw,4.718107339717723
2022-06-02T03:00:00+02:00 Warsaw,3.9707330543862445
2022-06-02T04:00:00+02:00 Warsaw,4.148053274949391
2022-06-02T05:00:00+02:00 Warsaw,4.119156504328289
2022-06-02T06:00:00+02:00 Warsaw,4.582730495020194
2022-06-02T07:00:00+02:00 Warsaw,4.5618887544737925
2022-06-02T08:00:00+02:00 Warsaw,1.6864622162227276
2022-06-02T09:00:00+02:00 Warsaw,0
2022-06-02T10:00:00+02:00 Warsaw,0
2022-06-02T11:00:00+02:00 Warsaw,0
2022-06-02T12:00:00+02:00 Warsaw,0
2022-06-02T13:00:00+02:00 Warsaw,0
