Timestamp,Radiowa 20B CH kW
2022-05-01T00:00:00+02:00 Warsaw,11.551037473749547
2022-05-01T01:00:00+02:00 Warsaw,12.70644080077971
2022-05-01T02:00:00+02:00 Warsaw,14.081615957299237
2022-05-01T03:00:00+02:00 Warsaw,14.73636694352715
2022-05-01T04:00:00+02:00 Warsaw,15.554307320577129
2022-05-01T05:00:00+02:00 Warsaw,16.06775951547976
2022-05-01T06:00:00+02:00 Warsaw,13.892159520546594
2022-05-01T07:00:00+02:00 Warsaw,6.852265547778871
2022-05-01T08:00:00+02:00 Warsaw,0
2022-05-01T09:00:00+02:00 Warsaw,0
2022-05-01T10:00:00+02:00 Warsaw,0
2022-05-01T11:00:00+02:00 Warsaw,0
2022-05-01T12:00:00+02:00 Warsaw,0
2022-05-01T13:00:00+02:00 Warsaw,0
2022-05-01T14:00:00+02:00 Warsaw,0
2022-05-01T15:00:00+02:00 Warsaw,0
2022-05-01T16:00:00+02:00 Warsaw,0
2022-05-01T17:00:00+02:00 Warsaw,0
2022-05-01T18:00:00+02:00 Warsaw,0
2022-05-01T19:00:00+02:00 Warsaw,0.27072046613693224
2022-05-01T20:00:00+02:00 Warsaw,3.4538352969487502
2022-05-01T21:00:00+02:00 Warsaw,6.808466991371579
2022-05-01T22:00:00+02:00 Warsaw,8.906360175756761
2022-05-01T23:00:00+02:00 Warsaw,10.285515648515137
2022-05-02T00:00:00+02:00 Warsaw,10.737353462905167
2022-05-02T01:00:00+02:00 Warsaw,11.228594121164745
2022-05-02T02:00:00+02:00 Warsaw,11.017910473850037
2022-05-02T03:00:00+02:00 Warsaw,11.350212445774195
2022-05-02T04:00:00+02:00 Warsaw,12.560166645314958
2022-05-02T05:00:00+02:00 Warsaw,13.013251081778678
2022-05-02T06:00:00+02:00 Warsaw,10.7577389793396
2022-05-02T07:00:00+02:00 Warsaw,4.781359142197503
2022-05-02T08:00:00+02:00 Warsaw,0
2022-05-02T09:00:00+02:00 Warsaw,0
2022-05-02T10:00:00+02:00 Warsaw,0
