Timestamp,Radiowa 20B CH kW
2022-04-01T00:00:00+02:00 Warsaw,17.228996510880965
2022-04-01T01:00:00+02:00 Warsaw,17.637966686950787
2022-04-01T02:00:00+02:00 Warsaw,18.037981680764094
2022-04-01T03:00:00+02:00 Warsaw,18.384262525075012
2022-04-01T04:00:00+02:00 Warsaw,18.840996312488006
2022-04-01T05:00:00+02:00 Warsaw,19.348477507945564
2022-04-01T06:00:00+02:00 Warsaw,19.990292320091417
2022-04-01T07:00:00+02:00 Warsaw,20.599270734817342
2022-04-01T08:00:00+02:00 Warsaw,20.718677398441802
2022-04-01T09:00:00+02:00 Warsaw,19.595536916256343
2022-04-01T10:00:00+02:00 Warsaw,19.70446112676903
2022-04-01T11:00:00+02:00 Warsaw,20.234109090148575
2022-04-01T12:00:00+02:00 Warsaw,20.52390143387532
2022-04-01T13:00:00+02:00 Warsaw,20.434488092580327
2022-04-01T14:00:00+02:00 Warsaw,20.64106269526592
2022-04-01T15:00:00+02:00 Warsaw,20.51747603280732
2022-04-01T16:00:00+02:00 Warsaw,20.799277241983347
2022-04-01T17:00:00+02:00 Warsaw,21.14953962608344
2022-04-01T18:00:00+02:00 Warsaw,21.971064276428024
2022-04-01T19:00:00+02:00 Warsaw,22.60972563991351
2022-04-01T20:00:00+02:00 Warsaw,24.01508496478614
2022-04-01T21:00:00+02:00 Warsaw,23.35885923432255
2022-04-01T22:00:00+02:00 Warsaw,26.0084427241981
2022-04-01T23:00:00+02:00 Warsaw,23.59384680767302
2022-04-02T00:00:00+02:00 Warsaw,23.193452953704533
2022-04-02T01:00:00+02:00 Warsaw,22.72663867639446
2022-04-02T02:00:00+02:00 Warsaw,22.17126844987108
2022-04-02T03:00:00+02:00 Warsaw,22.54561110844215
2022-04-02T04:00:00+02:00 Warsaw,22.78024731298288
2022-04-02T05:00:00+02:00 Warsaw,23.233123704559272
2022-04-02T06:00:00+02:00 Warsaw,23.300386382513576
2022-04-02T07:00:00+02:00 Warsaw,23.688798255478897
2022-04-02T08:00:00+02:00 Warsaw,23.10742289735984
2022-04-02T09:00:00+02:00 Warsaw,22.341902247973064
2022-04-02T10:00:00+02:00 Warsaw,21.518707555037235
2022-04-02T11:00:00+02:00 Warsaw,20.63195789556824
2022-04-02T12:00:00+02:00 Warsaw,19.046841412485197
2022-04-02T13:00:00+02:00 Warsaw,16.24618830936674
2022-04-02T14:00:00+02:00 Warsaw,14.796070159530721
2022-04-02T15:00:00+02:00 Warsaw,14.74167333116502
2022-04-02T16:00:00+02:00 Warsaw,15.309522039665117
2022-04-02T17:00:00+02:00 Warsaw,15.536396459636862
2022-04-02T18:00:00+02:00 Warsaw,16.596136916577816
2022-04-02T19:00:00+02:00 Warsaw,18.02902596515969
2022-04-02T20:00:00+02:00 Warsaw,18.59322610634786
2022-04-02T21:00:00+02:00 Warsaw,20.279053458524523
2022-04-02T22:00:00+02:00 Warsaw,19.88282608419546
2022-04-02T23:00:00+02:00 Warsaw,20.888833354665184
2022-04-03T00:00:00+02:00 Warsaw,21.98439624397359
2022-04-03T01:00:00+02:00 Warsaw,23.165534259161465
2022-04-03T02:00:00+02:00 Warsaw,23.902676210248913
2022-04-03T03:00:00+02:00 Warsaw,24.75285602275972
2022-04-03T04:00:00+02:00 Warsaw,25.244218694671435
2022-04-03T05:00:00+02:00 Warsaw,25.96603702976306
2022-04-03T06:00:00+02:00 Warsaw,26.222762197525412
2022-04-03T07:00:00+02:00 Warsaw,23.924408520317737
2022-04-03T08:00:00+02:00 Warsaw,20.51739355892118
2022-04-03T09:00:00+02:00 Warsaw,9.56045271690245
2022-04-03T10:00:00+02:00 Warsaw,10.311516097015804
2022-04-03T11:00:00+02:00 Warsaw,14.366061669725275
2022-04-03T12:00:00+02:00 Warsaw,13.62145226874469
2022-04-03T13:00:00+02:00 Warsaw,13.189348670522266
2022-04-03T14:00:00+02:00 Warsaw,12.545980190137286
2022-04-03T15:00:00+02:00 Warsaw,12.695210595528282
2022-04-03T16:00:00+02:00 Warsaw,13.749995281530014
2022-04-03T17:00:00+02:00 Warsaw,15.143346938727815
2022-04-03T18:00:00+02:00 Warsaw,16.23015333682078
2022-04-03T19:00:00+02:00 Warsaw,18.903287223594052
2022-04-03T20:00:00+02:00 Warsaw,20.36841616892263
2022-04-03T21:00:00+02:00 Warsaw,20.87033787939993
2022-04-03T22:00:00+02:00 Warsaw,19.838047552657898
2022-04-03T23:00:00+02:00 Warsaw,21.05610472936873
2022-04-04T00:00:00+02:00 Warsaw,20.579369257892722
2022-04-04T01:00:00+02:00 Warsaw,20.9286359498923
2022-04-04T02:00:00+02:00 Warsaw,21.330309015544625
2022-04-04T03:00:00+02:00 Warsaw,22.627736059993506
2022-04-04T04:00:00+02:00 Warsaw,23.432209651277024
2022-04-04T05:00:00+02:00 Warsaw,23.05076373151938
2022-04-04T06:00:00+02:00 Warsaw,22.038129630164807
2022-04-04T07:00:00+02:00 Warsaw,20.72663667967303
2022-04-04T08:00:00+02:00 Warsaw,20.5750905247043
2022-04-04T09:00:00+02:00 Warsaw,17.493483973873985
2022-04-04T10:00:00+02:00 Warsaw,12.194848778016036
2022-04-04T11:00:00+02:00 Warsaw,12.347685342010998
2022-04-04T12:00:00+02:00 Warsaw,11.440459807058176
2022-04-04T13:00:00+02:00 Warsaw,11.055289492743356
2022-04-04T14:00:00+02:00 Warsaw,11.218437011594496
2022-04-04T15:00:00+02:00 Warsaw,10.619841797972903
2022-04-04T16:00:00+02:00 Warsaw,11.063270003830945
2022-04-04T17:00:00+02:00 Warsaw,11.299522478421528
2022-04-04T18:00:00+02:00 Warsaw,12.706297985091517
2022-04-04T19:00:00+02:00 Warsaw,14.1572408314855
2022-04-04T20:00:00+02:00 Warsaw,14.790099791464984
2022-04-04T21:00:00+02:00 Warsaw,16.97989402740973
2022-04-04T22:00:00+02:00 Warsaw,16.426082187493645
