Timestamp,Radiowa 20B CH kW
2022-01-01T00:00:00+01:00 Warsaw,8.57746133044031
2022-01-01T01:00:00+01:00 Warsaw,8.380968609537396
2022-01-01T02:00:00+01:00 Warsaw,8.669682133828521
2022-01-01T03:00:00+01:00 Warsaw,9.206534972385123
2022-01-01T04:00:00+01:00 Warsaw,9.670805062320497
2022-01-01T05:00:00+01:00 Warsaw,10.086916153536903
2022-01-01T06:00:00+01:00 Warsaw,10.453892395691897
2022-01-01T07:00:00+01:00 Warsaw,10.657545830875478
2022-01-01T08:00:00+01:00 Warsaw,10.634027992778355
2022-01-01T09:00:00+01:00 Warsaw,10.037704143722852
2022-01-01T10:00:00+01:00 Warsaw,9.56167425042233
2022-01-01T11:00:00+01:00 Warsaw,8.631353585911173
2022-01-01T12:00:00+01:00 Warsaw,9.560669520492908
2022-01-01T13:00:00+01:00 Warsaw,9.986968900228094
2022-01-01T14:00:00+01:00 Warsaw,10.022293388115035
2022-01-01T15:00:00+01:00 Warsaw,10.93595090951743
2022-01-01T16:00:00+01:00 Warsaw,11.540678981348321
2022-01-01T17:00:00+01:00 Warsaw,12.167820544573994
2022-01-01T18:00:00+01:00 Warsaw,12.93331464044253
2022-01-01T19:00:00+01:00 Warsaw,13.76021123352757
2022-01-01T20:00:00+01:00 Warsaw,14.780538665409443
2022-01-01T21:00:00+01:00 Warsaw,14.757262687881786
2022-01-01T22:00:00+01:00 Warsaw,15.08185246606226
2022-01-01T23:00:00+01:00 Warsaw,15.940723713989614
2022-01-02T00:00:00+01:00 Warsaw,15.816605758393251
2022-01-02T01:00:00+01:00 Warsaw,16.02596606241332
2022-01-02T02:00:00+01:00 Warsaw,17.024018562751476
2022-01-02T03:00:00+01:00 Warsaw,17.019145462380514
2022-01-02T04:00:00+01:00 Warsaw,16.134030880106817
2022-01-02T05:00:00+01:00 Warsaw,16.15472796994668
2022-01-02T06:00:00+01:00 Warsaw,15.921684475625002
2022-01-02T07:00:00+01:00 Warsaw,15.818197873433428
2022-01-02T08:00:00+01:00 Warsaw,15.490623500086642
2022-01-02T09:00:00+01:00 Warsaw,14.342322283252523
2022-01-02T10:00:00+01:00 Warsaw,12.577353833398702
2022-01-02T11:00:00+01:00 Warsaw,11.197071395827663
2022-01-02T12:00:00+01:00 Warsaw,10.172381173725482
2022-01-02T13:00:00+01:00 Warsaw,10.268317496549516
2022-01-02T14:00:00+01:00 Warsaw,8.944012466183414
2022-01-02T15:00:00+01:00 Warsaw,9.485368491864078
2022-01-02T16:00:00+01:00 Warsaw,9.80580448862989
2022-01-02T17:00:00+01:00 Warsaw,9.759421302848393
2022-01-02T18:00:00+01:00 Warsaw,10.741662078486549
2022-01-02T19:00:00+01:00 Warsaw,9.619841833432517
2022-01-02T20:00:00+01:00 Warsaw,10.873357433742946
2022-01-02T21:00:00+01:00 Warsaw,10.154166842734373
2022-01-02T22:00:00+01:00 Warsaw,9.992169775278478
2022-01-02T23:00:00+01:00 Warsaw,9.165678757892715
2022-01-03T00:00:00+01:00 Warsaw,8.69357393082866
2022-01-03T01:00:00+01:00 Warsaw,8.71546536761743
2022-01-03T02:00:00+01:00 Warsaw,8.735605469677184
2022-01-03T03:00:00+01:00 Warsaw,10.126744834054294
2022-01-03T04:00:00+01:00 Warsaw,10.461742024620374
2022-01-03T05:00:00+01:00 Warsaw,11.310906363228957
2022-01-03T06:00:00+01:00 Warsaw,11.93495559323717
2022-01-03T07:00:00+01:00 Warsaw,12.364139620929798
2022-01-03T08:00:00+01:00 Warsaw,12.376566665433701
2022-01-03T09:00:00+01:00 Warsaw,11.651537443847252
2022-01-03T10:00:00+01:00 Warsaw,11.12213891649057
2022-01-03T11:00:00+01:00 Warsaw,11.845931056446501
2022-01-03T12:00:00+01:00 Warsaw,12.038572809166377
2022-01-03T13:00:00+01:00 Warsaw,11.759818692115248
2022-01-03T14:00:00+01:00 Warsaw,11.982532768580649
2022-01-03T15:00:00+01:00 Warsaw,12.840246527711551
2022-01-03T16:00:00+01:00 Warsaw,12.367920778177401
2022-01-03T17:00:00+01:00 Warsaw,13.0091389586484
2022-01-03T18:00:00+01:00 Warsaw,13.347260239623212
2022-01-03T19:00:00+01:00 Warsaw,12.82883311981625
2022-01-03T20:00:00+01:00 Warsaw,12.883561807870864
2022-01-03T21:00:00+01:00 Warsaw,12.795001154736235
2022-01-03T22:00:00+01:00 Warsaw,13.157203694807157
2022-01-03T23:00:00+01:00 Warsaw,14.456957253438453
2022-01-04T00:00:00+01:00 Warsaw,13.715433453970485
2022-01-04T01:00:00+01:00 Warsaw,13.366166915769929
2022-01-04T02:00:00+01:00 Warsaw,14.41268723713395
2022-01-04T03:00:00+01:00 Warsaw,14.80263794619192
2022-01-04T04:00:00+01:00 Warsaw,14.97239519137365
2022-01-04T05:00:00+01:00 Warsaw,15.390121997495491
2022-01-04T06:00:00+01:00 Warsaw,14.993092325399688
2022-01-04T07:00:00+01:00 Warsaw,15.366041709520829
2022-01-04T08:00:00+01:00 Warsaw,14.805025932687299
2022-01-04T09:00:00+01:00 Warsaw,13.636027422028244
2022-01-04T10:00:00+01:00 Warsaw,12.30843577163371
2022-01-04T11:00:00+01:00 Warsaw,12.27556876283474
2022-01-04T12:00:00+01:00 Warsaw,11.813818884411502
2022-01-04T13:00:00+01:00 Warsaw,12.351800156558001
2022-01-04T14:00:00+01:00 Warsaw,13.305764087924251
2022-01-04T15:00:00+01:00 Warsaw,12.67851241790954
2022-01-04T16:00:00+01:00 Warsaw,12.619273159530428
2022-01-04T17:00:00+01:00 Warsaw,13.20790184188772
2022-01-04T18:00:00+01:00 Warsaw,13.729586374362311
2022-01-04T19:00:00+01:00 Warsaw,12.229010300486175
2022-01-04T20:00:00+01:00 Warsaw,12.06262614912457
2022-01-04T21:00:00+01:00 Warsaw,12.833539294772677
2022-01-04T22:00:00+01:00 Warsaw,13.062205187443075
2022-01-04T23:00:00+01:00 Warsaw,14.71845556315575
2022-01-05T00:00:00+01:00 Warsaw,16.20806294110712
2022-01-05T01:00:00+01:00 Warsaw,16.916148768966
2022-01-05T02:00:00+01:00 Warsaw,15.92387336226998
2022-01-05T03:00:00+01:00 Warsaw,15.225368405306149
2022-01-05T04:00:00+01:00 Warsaw,15.119807355576091
2022-01-05T05:00:00+01:00 Warsaw,14.860749450804278
2022-01-05T06:00:00+01:00 Warsaw,14.915278747117076
2022-01-05T07:00:00+01:00 Warsaw,15.669613383049686
2022-01-05T08:00:00+01:00 Warsaw,16.426935035602128
2022-01-05T09:00:00+01:00 Warsaw,14.62597159449764
2022-01-05T10:00:00+01:00 Warsaw,14.228885511019032
2022-01-05T11:00:00+01:00 Warsaw,13.336826670040216
2022-01-05T12:00:00+01:00 Warsaw,13.134317403638804
2022-01-05T13:00:00+01:00 Warsaw,13.866398453419173
2022-01-05T14:00:00+01:00 Warsaw,14.447384175338124
2022-01-05T15:00:00+01:00 Warsaw,16.11253702235774
2022-01-05T16:00:00+01:00 Warsaw,17.33228358892048
2022-01-05T17:00:00+01:00 Warsaw,17.797745533818922
2022-01-05T18:00:00+01:00 Warsaw,18.08176455790025
2022-01-05T19:00:00+01:00 Warsaw,18.73809488399319
2022-01-05T20:00:00+01:00 Warsaw,19.29005776312616
2022-01-05T21:00:00+01:00 Warsaw,18.370332431258976
2022-01-05T22:00:00+01:00 Warsaw,18.438821315426043
2022-01-05T23:00:00+01:00 Warsaw,18.65989537963161
2022-01-06T00:00:00+01:00 Warsaw,18.917763469609948
2022-01-06T01:00:00+01:00 Warsaw,19.330567044405498
2022-01-06T02:00:00+01:00 Warsaw,18.819503143776345
2022-01-06T03:00:00+01:00 Warsaw,19.011465109381408
2022-01-06T04:00:00+01:00 Warsaw,18.793202585935596
2022-01-06T05:00:00+01:00 Warsaw,18.499690531867525
2022-01-06T06:00:00+01:00 Warsaw,18.535512533099563
2022-01-06T07:00:00+01:00 Warsaw,18.843016786570903
2022-01-06T08:00:00+01:00 Warsaw,18.842257430288527
2022-01-06T09:00:00+01:00 Warsaw,18.95542851563957
2022-01-06T10:00:00+01:00 Warsaw,18.61810227975801
2022-01-06T11:00:00+01:00 Warsaw,19.194925419769906
2022-01-06T12:00:00+01:00 Warsaw,19.513260284297996
2022-01-06T13:00:00+01:00 Warsaw,20.72882740953118
2022-01-06T14:00:00+01:00 Warsaw,22.12393236224231
2022-01-06T15:00:00+01:00 Warsaw,22.122618466127804
2022-01-06T16:00:00+01:00 Warsaw,22.216444891844635
2022-01-06T17:00:00+01:00 Warsaw,22.623325599525813
2022-01-06T18:00:00+01:00 Warsaw,23.067031298899774
2022-01-06T19:00:00+01:00 Warsaw,23.080675156416717
2022-01-06T20:00:00+01:00 Warsaw,23.149693586462075
2022-01-06T21:00:00+01:00 Warsaw,23.75512365848772
2022-01-06T22:00:00+01:00 Warsaw,24.739721979939645
2022-01-06T23:00:00+01:00 Warsaw,26.25793667134595
2022-01-07T00:00:00+01:00 Warsaw,26.64068728005886
2022-01-07T01:00:00+01:00 Warsaw,26.9004847879599
2022-01-07T02:00:00+01:00 Warsaw,26.95496771683516
2022-01-07T03:00:00+01:00 Warsaw,27.069700953146768
2022-01-07T04:00:00+01:00 Warsaw,27.48848047512549
2022-01-07T05:00:00+01:00 Warsaw,27.97300187901845
2022-01-07T06:00:00+01:00 Warsaw,28.696167361078437
2022-01-07T07:00:00+01:00 Warsaw,28.64076236033219
2022-01-07T08:00:00+01:00 Warsaw,26.889374248781323
2022-01-07T09:00:00+01:00 Warsaw,24.121072769406766
2022-01-07T10:00:00+01:00 Warsaw,22.83106865532089
2022-01-07T11:00:00+01:00 Warsaw,21.541262146870285
2022-01-07T12:00:00+01:00 Warsaw,20.17622710669172
2022-01-07T13:00:00+01:00 Warsaw,19.476414252403078
2022-01-07T14:00:00+01:00 Warsaw,19.36439891323337
2022-01-07T15:00:00+01:00 Warsaw,20.594494109627657
2022-01-07T16:00:00+01:00 Warsaw,22.13604384973795
2022-01-07T17:00:00+01:00 Warsaw,22.846318869213263
2022-01-07T18:00:00+01:00 Warsaw,23.439375515449928
2022-01-07T19:00:00+01:00 Warsaw,24.039314402285076
2022-01-07T20:00:00+01:00 Warsaw,24.140776997248334
2022-01-07T21:00:00+01:00 Warsaw,24.06124888049563
2022-01-07T22:00:00+01:00 Warsaw,23.899095635524503
2022-01-07T23:00:00+01:00 Warsaw,23.69992363674663
2022-01-08T00:00:00+01:00 Warsaw,24.43924305933493
2022-01-08T01:00:00+01:00 Warsaw,24.621508974936273
2022-01-08T02:00:00+01:00 Warsaw,25.460226093484295
2022-01-08T03:00:00+01:00 Warsaw,26.282464951078097
2022-01-08T04:00:00+01:00 Warsaw,26.939445370972155
2022-01-08T05:00:00+01:00 Warsaw,27.963567555367003
2022-01-08T06:00:00+01:00 Warsaw,28.28970501965947
2022-01-08T07:00:00+01:00 Warsaw,28.623297344472675
2022-01-08T08:00:00+01:00 Warsaw,28.08551745077637
2022-01-08T09:00:00+01:00 Warsaw,25.82728458330934
2022-01-08T10:00:00+01:00 Warsaw,24.28170991935204
2022-01-08T11:00:00+01:00 Warsaw,22.828367818638764
2022-01-08T12:00:00+01:00 Warsaw,22.477201315886447
2022-01-08T13:00:00+01:00 Warsaw,21.933790071126293
2022-01-08T14:00:00+01:00 Warsaw,22.03911554289223
2022-01-08T15:00:00+01:00 Warsaw,22.035119849763532
2022-01-08T16:00:00+01:00 Warsaw,21.88272662487074
2022-01-08T17:00:00+01:00 Warsaw,22.253579993812753
2022-01-08T18:00:00+01:00 Warsaw,22.150193124915717
2022-01-08T19:00:00+01:00 Warsaw,22.048279118355776
2022-01-08T20:00:00+01:00 Warsaw,22.046914435834406
2022-01-08T21:00:00+01:00 Warsaw,22.861485185363776
2022-01-08T22:00:00+01:00 Warsaw,23.042043134443972
2022-01-08T23:00:00+01:00 Warsaw,23.07657569245792
2022-01-09T00:00:00+01:00 Warsaw,22.375245580242737
2022-01-09T01:00:00+01:00 Warsaw,22.487614444293985
2022-01-09T02:00:00+01:00 Warsaw,22.38755423724651
2022-01-09T03:00:00+01:00 Warsaw,22.112427957998012
2022-01-09T04:00:00+01:00 Warsaw,22.358539630754127
2022-01-09T05:00:00+01:00 Warsaw,23.418121271761112
2022-01-09T06:00:00+01:00 Warsaw,23.641172808629495
2022-01-09T07:00:00+01:00 Warsaw,23.997691248029316
2022-01-09T08:00:00+01:00 Warsaw,24.319919506554886
2022-01-09T09:00:00+01:00 Warsaw,23.15667858670037
2022-01-09T10:00:00+01:00 Warsaw,21.91334876631114
2022-01-09T11:00:00+01:00 Warsaw,20.79629263790063
2022-01-09T12:00:00+01:00 Warsaw,19.295341566490517
2022-01-09T13:00:00+01:00 Warsaw,18.720196084216788
2022-01-09T14:00:00+01:00 Warsaw,18.917815043804822
2022-01-09T15:00:00+01:00 Warsaw,20.0977592953644
2022-01-09T16:00:00+01:00 Warsaw,21.691847944379735
2022-01-09T17:00:00+01:00 Warsaw,22.780047710308214
2022-01-09T18:00:00+01:00 Warsaw,23.239965039441984
2022-01-09T19:00:00+01:00 Warsaw,23.33740111152331
2022-01-09T20:00:00+01:00 Warsaw,23.69753386903582
2022-01-09T21:00:00+01:00 Warsaw,24.39326973241788
2022-01-09T22:00:00+01:00 Warsaw,24.958953580240408
2022-01-09T23:00:00+01:00 Warsaw,25.50393010535332
2022-01-10T00:00:00+01:00 Warsaw,27.252650557959527
2022-01-10T01:00:00+01:00 Warsaw,27.891909009757494
2022-01-10T02:00:00+01:00 Warsaw,27.41707453709179
2022-01-10T03:00:00+01:00 Warsaw,26.683503982989247
2022-01-10T04:00:00+01:00 Warsaw,25.704567813880857
2022-01-10T05:00:00+01:00 Warsaw,25.139599523189833
2022-01-10T06:00:00+01:00 Warsaw,25.13878137211667
2022-01-10T07:00:00+01:00 Warsaw,24.690524896155903
2022-01-10T08:00:00+01:00 Warsaw,24.30125820906957
2022-01-10T09:00:00+01:00 Warsaw,24.162488763915167
2022-01-10T10:00:00+01:00 Warsaw,23.408488494719066
2022-01-10T11:00:00+01:00 Warsaw,22.628077378616286
2022-01-10T12:00:00+01:00 Warsaw,22.142611144028326
2022-01-10T13:00:00+01:00 Warsaw,21.395319723161595
2022-01-10T14:00:00+01:00 Warsaw,21.752516652139008
2022-01-10T15:00:00+01:00 Warsaw,22.850279168077304
2022-01-10T16:00:00+01:00 Warsaw,24.86295030253463
2022-01-10T17:00:00+01:00 Warsaw,26.337393557401715
2022-01-10T18:00:00+01:00 Warsaw,28.250260031364586
2022-01-10T19:00:00+01:00 Warsaw,27.919541457781083
2022-01-10T20:00:00+01:00 Warsaw,28.49559663749876
2022-01-10T21:00:00+01:00 Warsaw,29.923391166572216
2022-01-10T22:00:00+01:00 Warsaw,29.59864814927843
2022-01-10T23:00:00+01:00 Warsaw,30.151027316172915
2022-01-11T00:00:00+01:00 Warsaw,30.65151623034477
2022-01-11T01:00:00+01:00 Warsaw,30.836869261499434
2022-01-11T02:00:00+01:00 Warsaw,31.196080711417725
2022-01-11T03:00:00+01:00 Warsaw,30.779349602432475
2022-01-11T04:00:00+01:00 Warsaw,31.37773738386896
2022-01-11T05:00:00+01:00 Warsaw,30.960370534631938
2022-01-11T06:00:00+01:00 Warsaw,30.198312930380855
2022-01-11T07:00:00+01:00 Warsaw,29.678174430229046
2022-01-11T08:00:00+01:00 Warsaw,30.61063375323538
2022-01-11T09:00:00+01:00 Warsaw,27.93832818778324
2022-01-11T10:00:00+01:00 Warsaw,26.152908843623266
2022-01-11T11:00:00+01:00 Warsaw,24.678824968996608
2022-01-11T12:00:00+01:00 Warsaw,24.09560455424003
2022-01-11T13:00:00+01:00 Warsaw,24.06319441085455
2022-01-11T14:00:00+01:00 Warsaw,24.835090664311693
2022-01-11T15:00:00+01:00 Warsaw,24.55081868655814
2022-01-11T16:00:00+01:00 Warsaw,24.91545553730783
2022-01-11T17:00:00+01:00 Warsaw,24.843606343401806
2022-01-11T18:00:00+01:00 Warsaw,24.745581346616756
2022-01-11T19:00:00+01:00 Warsaw,25.8703424545394
2022-01-11T20:00:00+01:00 Warsaw,25.73846861865786
2022-01-11T21:00:00+01:00 Warsaw,27.57084267263501
2022-01-11T22:00:00+01:00 Warsaw,24.41007564660502
2022-01-11T23:00:00+01:00 Warsaw,24.5263018855298
2022-01-12T00:00:00+01:00 Warsaw,26.164103014088813
2022-01-12T01:00:00+01:00 Warsaw,25.458566890349463
2022-01-12T02:00:00+01:00 Warsaw,24.76766259797414
2022-01-12T03:00:00+01:00 Warsaw,25.146426142206895
2022-01-12T04:00:00+01:00 Warsaw,25.543811653569893
2022-01-12T05:00:00+01:00 Warsaw,26.211299085552096
2022-01-12T06:00:00+01:00 Warsaw,26.16114842871384
2022-01-12T07:00:00+01:00 Warsaw,25.720057155467845
2022-01-12T08:00:00+01:00 Warsaw,25.218545600952925
2022-01-12T09:00:00+01:00 Warsaw,23.93946542482438
2022-01-12T10:00:00+01:00 Warsaw,22.544018679353925
2022-01-12T11:00:00+01:00 Warsaw,22.618791117596874
2022-01-12T12:00:00+01:00 Warsaw,22.27968084490686
2022-01-12T13:00:00+01:00 Warsaw,22.358141847856462
2022-01-12T14:00:00+01:00 Warsaw,22.81388003348476
2022-01-12T15:00:00+01:00 Warsaw,23.596993176718552
2022-01-12T16:00:00+01:00 Warsaw,23.562126218716305
2022-01-12T17:00:00+01:00 Warsaw,24.685179941565906
2022-01-12T18:00:00+01:00 Warsaw,26.39210776021714
2022-01-12T19:00:00+01:00 Warsaw,24.998545137454595
2022-01-12T20:00:00+01:00 Warsaw,24.824647710190877
2022-01-12T21:00:00+01:00 Warsaw,22.980850153344647
