Timestamp,Radiowa 20B CH kW
2022-02-01T00:00:00+01:00 Warsaw,24.932480124041202
2022-02-01T01:00:00+01:00 Warsaw,25.06018196793397
2022-02-01T02:00:00+01:00 Warsaw,25.488406849437293
2022-02-01T03:00:00+01:00 Warsaw,25.016747423456774
2022-02-01T04:00:00+01:00 Warsaw,24.955575696139107
2022-02-01T05:00:00+01:00 Warsaw,25.751341943595147
2022-02-01T06:00:00+01:00 Warsaw,26.570238391425875
2022-02-01T07:00:00+01:00 Warsaw,26.90028071773683
2022-02-01T08:00:00+01:00 Warsaw,24.86915930017319
2022-02-01T09:00:00+01:00 Warsaw,22.390053488784204
2022-02-01T10:00:00+01:00 Warsaw,21.235008026322706
2022-02-01T11:00:00+01:00 Warsaw,20.68541441088338
2022-02-01T12:00:00+01:00 Warsaw,20.222653745402578
2022-02-01T13:00:00+01:00 Warsaw,19.780363052461198
2022-02-01T14:00:00+01:00 Warsaw,20.290402838161835
2022-02-01T15:00:00+01:00 Warsaw,21.337606201899003
2022-02-01T16:00:00+01:00 Warsaw,21.778418615290686
2022-02-01T17:00:00+01:00 Warsaw,21.622528472722678
2022-02-01T18:00:00+01:00 Warsaw,21.41399882034503
2022-02-01T19:00:00+01:00 Warsaw,21.32059524143867
2022-02-01T20:00:00+01:00 Warsaw,22.30053078799651
2022-02-01T21:00:00+01:00 Warsaw,22.622740276059204
2022-02-01T22:00:00+01:00 Warsaw,21.81565695831434
2022-02-01T23:00:00+01:00 Warsaw,21.290625068511883
2022-02-02T00:00:00+01:00 Warsaw,21.75309839300425
2022-02-02T01:00:00+01:00 Warsaw,21.19390941818555
2022-02-02T02:00:00+01:00 Warsaw,20.888833562864196
2022-02-02T03:00:00+01:00 Warsaw,21.352147252479124
2022-02-02T04:00:00+01:00 Warsaw,20.657183082906183
2022-02-02T05:00:00+01:00 Warsaw,20.02406168909205
2022-02-02T06:00:00+01:00 Warsaw,19.35942331219161
2022-02-02T07:00:00+01:00 Warsaw,19.255965466811226
2022-02-02T08:00:00+01:00 Warsaw,19.960405791307256
2022-02-02T09:00:00+01:00 Warsaw,19.480626615926074
2022-02-02T10:00:00+01:00 Warsaw,19.39154806253645
2022-02-02T11:00:00+01:00 Warsaw,19.059909474893853
2022-02-02T12:00:00+01:00 Warsaw,19.291759551892046
2022-02-02T13:00:00+01:00 Warsaw,20.078853074869073
2022-02-02T14:00:00+01:00 Warsaw,19.80819644322274
2022-02-02T15:00:00+01:00 Warsaw,19.401216011720674
2022-02-02T16:00:00+01:00 Warsaw,19.78772588226688
2022-02-02T17:00:00+01:00 Warsaw,20.147512660320157
2022-02-02T18:00:00+01:00 Warsaw,21.272290350599423
2022-02-02T19:00:00+01:00 Warsaw,20.695281148173034
2022-02-02T20:00:00+01:00 Warsaw,20.294213267545064
